Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume
1.59E+12,10/04/2020 04:00,LTCUSD,45.39,45.39,40.96,42.79,43788.14357
1.59E+12,09/04/2020 04:00,LTCUSD,45.9,46.49,45.28,45.39,2332.991426
1.59E+12,08/04/2020 04:00,LTCUSD,46.73,47.23,45.1,45.9,21870.41368
1.59E+12,07/04/2020 04:00,LTCUSD,45.71,47.73,43.63,46.73,41262.54038
1.59E+12,06/04/2020 04:00,LTCUSD,40.63,46.29,40.63,45.71,48391.04116
1.59E+12,05/04/2020 04:00,LTCUSD,40.68,40.88,39.93,40.63,14878.45519
1.59E+12,04/04/2020 04:00,LTCUSD,40.27,41.2,40,40.68,10865.51521
1.59E+12,03/04/2020 04:00,LTCUSD,40.37,41.33,39.72,40.27,36254.03125
1.59E+12,02/04/2020 04:00,LTCUSD,39.58,43,39.1,40.37,28045.08042
1.59E+12,01/04/2020 04:00,LTCUSD,38.81,39.89,37.21,39.58,20217.54818
1.59E+12,31/03/2020 04:00,LTCUSD,38.89,39.4,38.49,38.81,12973.06443
1.59E+12,30/03/2020 04:00,LTCUSD,37.62,39.72,37.62,38.89,19980.69251
1.59E+12,29/03/2020 04:00,LTCUSD,38.63,38.71,37.01,37.62,8347.112497
1.59E+12,28/03/2020 04:00,LTCUSD,37.19,39.52,36.9,38.63,18904.20305
1.59E+12,27/03/2020 04:00,LTCUSD,40.8,40.8,36.64,37.19,19635.48177
1.59E+12,26/03/2020 04:00,LTCUSD,39.71,41.35,39.71,40.8,2417.129544
1.59E+12,25/03/2020 04:00,LTCUSD,39.44,41.15,38.23,39.71,51932.55914
1.59E+12,24/03/2020 04:00,LTCUSD,38.95,41.07,38.44,39.44,54828.03978
1.58E+12,23/03/2020 04:00,LTCUSD,36.96,40.24,35.49,38.95,50044.02601
1.58E+12,22/03/2020 04:00,LTCUSD,39.37,39.76,34.57,36.96,56930.74479
1.58E+12,21/03/2020 04:00,LTCUSD,38.4,39.85,36.41,39.37,30654.84692
1.58E+12,20/03/2020 04:00,LTCUSD,38.61,43.81,34.33,38.4,124144.7031
1.58E+12,19/03/2020 04:00,LTCUSD,34.29,41.28,34.18,38.61,52034.08488
1.58E+12,18/03/2020 04:00,LTCUSD,34.75,35.5,32.4,34.29,47062.25096
1.58E+12,17/03/2020 04:00,LTCUSD,35.19,35.99,33.19,34.75,50090.72286
1.58E+12,16/03/2020 04:00,LTCUSD,35.69,35.86,29.37,35.19,60611.5205
1.58E+12,15/03/2020 04:00,LTCUSD,34.48,38.86,34.48,35.69,25442.14452
1.58E+12,14/03/2020 04:00,LTCUSD,37.38,37.38,33.8,34.48,37010.89318
1.58E+12,13/03/2020 04:00,LTCUSD,32.13,37.9,32.13,37.38,5866.659229
1.58E+12,12/03/2020 04:00,LTCUSD,46.11,46.11,30.8,32.13,13092.2885
1.58E+12,11/03/2020 04:00,LTCUSD,50.28,50.44,45.5,46.11,39951.33062
1.58E+12,10/03/2020 04:00,LTCUSD,50.27,51.44,48.93,50.28,35574.36789
1.58E+12,09/03/2020 04:00,LTCUSD,50.93,51.02,46.62,50.27,75607.76143
1.58E+12,08/03/2020 04:00,LTCUSD,58.84,59.39,49.71,50.93,40967.1796
1.58E+12,07/03/2020 04:00,LTCUSD,63.1,63.99,58.47,58.84,6664.317486
1.58E+12,06/03/2020 04:00,LTCUSD,61.66,63.99,61.38,63.1,24437.07941
1.58E+12,05/03/2020 04:00,LTCUSD,60.8,62.09,60.8,61.66,6498.91907
1.58E+12,04/03/2020 04:00,LTCUSD,61.16,61.75,58.8,60.8,20493.52226
1.58E+12,03/03/2020 04:00,LTCUSD,61.45,62.31,59.45,61.16,19786.03633
1.58E+12,02/03/2020 04:00,LTCUSD,57.8,62.31,57.8,61.45,23724.58226
1.58E+12,01/03/2020 04:00,LTCUSD,59.65,60.08,56.26,57.8,15290.03153
1.58E+12,29/02/2020 04:00,LTCUSD,60.26,61.69,58.06,59.65,18452.25562
1.58E+12,28/02/2020 04:00,LTCUSD,62.21,62.37,56.62,60.26,14584.65451
1.58E+12,27/02/2020 04:00,LTCUSD,60.25,65.23,59.79,62.21,18856.80128
1.58E+12,26/02/2020 04:00,LTCUSD,68.52,69.82,57.04,60.25,44512.71418
1.58E+12,25/02/2020 04:00,LTCUSD,74.49,75.52,66.83,68.52,16529.83354
1.58E+12,24/02/2020 04:00,LTCUSD,76.61,77.49,71.8,74.49,16565.56719
1.58E+12,23/02/2020 04:00,LTCUSD,75.99,80.2,75.62,76.61,10199.26765
1.58E+12,22/02/2020 04:00,LTCUSD,74.57,76.65,73.07,75.99,7153.032927
1.58E+12,21/02/2020 04:00,LTCUSD,72.31,75.28,71.1,74.57,8358.931884
1.58E+12,20/02/2020 04:00,LTCUSD,70.95,72.94,70.95,72.31,404.56081
1.58E+12,19/02/2020 04:00,LTCUSD,77.74,79.75,67.35,70.95,27040.71263
1.58E+12,18/02/2020 04:00,LTCUSD,74.45,79.17,70.27,77.74,23909.39106
1.58E+12,17/02/2020 04:00,LTCUSD,71.07,74.69,68.88,74.45,15633.1618
1.58E+12,16/02/2020 04:00,LTCUSD,79.83,80,67.7,71.07,18234.64703
1.58E+12,15/02/2020 04:00,LTCUSD,81.55,82.12,75,79.83,14491.63618
1.58E+12,14/02/2020 04:00,LTCUSD,80.86,83.8,78.65,81.55,13309.35194
1.58E+12,13/02/2020 04:00,LTCUSD,83.08,83.74,77.35,80.86,24126.24037
1.58E+12,12/02/2020 04:00,LTCUSD,78.23,84.48,77.89,83.08,19417.95061
1.58E+12,11/02/2020 04:00,LTCUSD,72.76,78.52,72.63,78.23,18020.22041
1.58E+12,10/02/2020 04:00,LTCUSD,75.62,76.02,72.48,72.76,11861.10125
1.58E+12,09/02/2020 04:00,LTCUSD,77.64,78.53,75,75.62,7289.527451
1.58E+12,08/02/2020 04:00,LTCUSD,71.95,77.91,71.95,77.64,7983.095671
1.58E+12,07/02/2020 04:00,LTCUSD,74.02,74.97,71.63,71.95,9282.1731
1.58E+12,06/02/2020 04:00,LTCUSD,74,75.12,73.5,74.02,810.94207
1.58E+12,05/02/2020 04:00,LTCUSD,68.08,74,67.95,74,16364.33939
1.58E+12,04/02/2020 04:00,LTCUSD,68.68,69.01,66.3,68.08,10208.69901
1.58E+12,03/02/2020 04:00,LTCUSD,70.95,71.43,68.5,68.68,24453.3416
1.58E+12,02/02/2020 04:00,LTCUSD,68.65,73.22,67.79,70.95,18383.6763
1.58E+12,01/02/2020 04:00,LTCUSD,72.59,72.8,67.6,68.65,17017.44727
1.58E+12,31/01/2020 04:00,LTCUSD,68.51,72.59,65.35,72.59,31462.31192
1.58E+12,30/01/2020 04:00,LTCUSD,59.22,70.08,59.22,68.51,32777.99239
1.58E+12,29/01/2020 04:00,LTCUSD,61.18,61.78,58.35,59.22,8243.218183
1.58E+12,28/01/2020 04:00,LTCUSD,60.57,62.31,57.45,61.18,9788.765723
1.58E+12,27/01/2020 04:00,LTCUSD,56.31,61.4,55.84,60.57,10064.33928
1.58E+12,26/01/2020 04:00,LTCUSD,53.78,57.03,53.13,56.31,3906.123265
1.58E+12,25/01/2020 04:00,LTCUSD,52.79,54.2,52.72,53.78,5508.985678
1.58E+12,24/01/2020 04:00,LTCUSD,52.63,55.24,50.74,52.79,11348.14909
1.58E+12,23/01/2020 04:00,LTCUSD,56.75,56.75,51.31,52.63,806.31144
1.58E+12,22/01/2020 04:00,LTCUSD,57.14,59.15,56.45,56.75,17788.32673
1.58E+12,21/01/2020 04:00,LTCUSD,57.76,57.98,55.88,57.14,15149.52784
1.58E+12,20/01/2020 04:00,LTCUSD,56.83,58.15,55.74,57.76,7575.773481
1.58E+12,19/01/2020 04:00,LTCUSD,61.13,61.49,55.39,56.83,8154.260534
1.58E+12,18/01/2020 04:00,LTCUSD,61.28,62.44,58.06,61.13,10313.74888
1.58E+12,17/01/2020 04:00,LTCUSD,58.24,63.16,58.04,61.28,18437.46361
1.58E+12,16/01/2020 04:00,LTCUSD,55.41,58.94,55.32,58.24,10167.13929
1.58E+12,15/01/2020 04:00,LTCUSD,57.99,59.51,54.68,55.41,15341.27842
1.58E+12,14/01/2020 04:00,LTCUSD,53.82,60.93,53.21,57.99,38633.36471
1.58E+12,13/01/2020 04:00,LTCUSD,49.9,54.11,48.89,53.82,30771.53585
1.58E+12,12/01/2020 04:00,LTCUSD,50.66,51.57,49.71,49.9,7409.456163
1.58E+12,11/01/2020 04:00,LTCUSD,48.98,51.82,47.85,50.66,12550.62915
1.58E+12,10/01/2020 04:00,LTCUSD,44.49,49.85,43.65,48.98,20952.52202
1.58E+12,09/01/2020 04:00,LTCUSD,45.07,46.14,44.49,44.49,485.3459781
1.58E+12,08/01/2020 04:00,LTCUSD,47.67,48.19,44.08,45.07,12594.26198
1.58E+12,07/01/2020 04:00,LTCUSD,45.23,48.6,44.55,47.67,29213.36856
1.58E+12,06/01/2020 04:00,LTCUSD,44.36,46.23,44,45.23,12977.62671
1.58E+12,05/01/2020 04:00,LTCUSD,43.03,44.64,42.63,44.36,7067.704552
1.58E+12,04/01/2020 04:00,LTCUSD,42.02,43.16,41.87,43.03,3690.598069
1.58E+12,03/01/2020 04:00,LTCUSD,39.2,42.28,39.2,42.02,5959.122901
1.58E+12,02/01/2020 04:00,LTCUSD,41.09,41.46,38.77,39.2,5461.09418
1.58E+12,01/01/2020 04:00,LTCUSD,41.5,42,41.09,41.09,1174.642228
1.58E+12,31/12/2019 04:00,LTCUSD,42.01,42.91,40.91,41.5,1523.772564
1.58E+12,30/12/2019 04:00,LTCUSD,42.84,44,41.73,42.01,4713.69015
1.58E+12,29/12/2019 04:00,LTCUSD,42.65,43.56,42.21,42.84,1984.594587
1.58E+12,28/12/2019 04:00,LTCUSD,41.45,43.65,41.44,42.65,2678.722936
1.58E+12,27/12/2019 04:00,LTCUSD,40.25,41.79,39.59,41.45,3143.505919
1.58E+12,26/12/2019 04:00,LTCUSD,39.58,41.68,39.58,40.25,4116.119319
1.58E+12,25/12/2019 04:00,LTCUSD,39.95,40.47,39.45,39.58,979.36584
1.58E+12,24/12/2019 04:00,LTCUSD,40.54,41.1,39.74,39.95,6200.55642
1.58E+12,23/12/2019 04:00,LTCUSD,42.25,42.59,40.38,40.54,6036.969923
1.58E+12,22/12/2019 04:00,LTCUSD,39.77,42.5,39.77,42.25,4850.431165
1.58E+12,21/12/2019 04:00,LTCUSD,40.01,40.01,39.5,39.77,1498.735593
1.58E+12,20/12/2019 04:00,LTCUSD,39.7,40.35,39.48,40.01,3544.151043
1.58E+12,19/12/2019 04:00,LTCUSD,40.38,40.38,40.38,40.38,0
1.58E+12,18/12/2019 04:00,LTCUSD,37.6,41.71,36,40.38,29119.21391
1.58E+12,17/12/2019 04:00,LTCUSD,39.73,39.78,36.31,37.6,20289.9177
1.58E+12,16/12/2019 04:00,LTCUSD,43.09,43.09,43.09,43.09,0
1.58E+12,15/12/2019 04:00,LTCUSD,43.28,43.93,43.01,43.09,2162.427752
1.58E+12,14/12/2019 04:00,LTCUSD,44.4,44.46,42.92,43.28,3174.911971
1.58E+12,13/12/2019 04:00,LTCUSD,43.33,44.49,43.33,44.4,6.74622
1.58E+12,12/12/2019 04:00,LTCUSD,43.33,43.33,43.33,43.33,0
1.58E+12,11/12/2019 04:00,LTCUSD,43.86,44.41,42.96,43.33,6430.67748
1.58E+12,10/12/2019 04:00,LTCUSD,44.42,44.59,43.63,43.86,20260.69229
1.58E+12,09/12/2019 04:00,LTCUSD,45.48,45.87,44.11,44.42,9960.665058
1.58E+12,08/12/2019 04:00,LTCUSD,44.94,46.25,44.94,45.48,2719.521168
1.58E+12,07/12/2019 04:00,LTCUSD,45.43,46.62,44.94,44.94,10182.99717
1.58E+12,06/12/2019 04:00,LTCUSD,44.76,45.73,44.14,45.43,8676.668151
1.58E+12,05/12/2019 04:00,LTCUSD,44.05,44.05,44.05,44.05,0
1.58E+12,04/12/2019 04:00,LTCUSD,44.05,47.12,43.74,44.05,26638.82649
1.58E+12,03/12/2019 04:00,LTCUSD,45.79,46.27,43.62,44.05,10941.57167
1.58E+12,02/12/2019 04:00,LTCUSD,47.12,47.25,44.8,45.79,6495.667183
1.58E+12,01/12/2019 04:00,LTCUSD,45.93,48.3,45.93,47.12,2407.357348
1.58E+12,30/11/2019 04:00,LTCUSD,48.25,48.59,45.7,45.93,5509.827377
1.58E+12,29/11/2019 04:00,LTCUSD,47.67,49.36,47.08,48.25,11324.54122
1.57E+12,28/11/2019 04:00,LTCUSD,47.75,47.96,46.28,47.67,4380.37548
1.57E+12,27/11/2019 04:00,LTCUSD,45.91,48.64,44.77,47.75,13050.24195
1.57E+12,26/11/2019 04:00,LTCUSD,46.89,47.42,45.79,45.91,4273.501874
1.57E+12,25/11/2019 04:00,LTCUSD,43.52,47.5,42.24,46.89,11722.67819
1.57E+12,24/11/2019 04:00,LTCUSD,47.2,47.7,42.76,43.52,5570.630113
1.57E+12,23/11/2019 04:00,LTCUSD,47.56,48.64,46.41,47.2,2164.144772
1.57E+12,22/11/2019 04:00,LTCUSD,50.41,51.69,43.65,47.56,20020.01778
1.57E+12,21/11/2019 04:00,LTCUSD,54.71,54.71,54.71,54.71,0
1.57E+12,20/11/2019 04:00,LTCUSD,55.82,56.01,54.63,54.71,4560.905609
1.57E+12,19/11/2019 04:00,LTCUSD,55.82,55.82,55.82,55.82,0
1.57E+12,18/11/2019 04:00,LTCUSD,58.6,59.02,53.8,55.82,15693.05836
1.57E+12,17/11/2019 04:00,LTCUSD,58.22,59.83,57.62,58.6,1753.502353
1.57E+12,16/11/2019 04:00,LTCUSD,57.43,58.82,57.22,58.22,1947.613949
1.57E+12,15/11/2019 04:00,LTCUSD,58.59,60.63,56.24,57.43,18380.3409
1.57E+12,14/11/2019 04:00,LTCUSD,60.75,60.75,58.2,58.59,8630.531275
1.57E+12,13/11/2019 04:00,LTCUSD,61.04,61.97,60.17,60.75,8550.319647
1.57E+12,12/11/2019 04:00,LTCUSD,61.84,61.84,61.84,61.84,0
1.57E+12,11/11/2019 04:00,LTCUSD,63.26,63.26,60.41,61.84,5948.734252
1.57E+12,10/11/2019 04:00,LTCUSD,61.87,66.16,61.01,63.26,22246.94189
1.57E+12,09/11/2019 04:00,LTCUSD,61.22,62.28,60.34,61.87,2824.998968
1.57E+12,08/11/2019 04:00,LTCUSD,62.22,62.22,58.79,61.22,8249.947598
1.57E+12,07/11/2019 04:00,LTCUSD,62.96,63.13,60.27,62.22,7694.830331
1.57E+12,06/11/2019 04:00,LTCUSD,62.62,64.33,62.52,62.96,8444.348789
1.57E+12,05/11/2019 04:00,LTCUSD,62.19,64.17,61.07,62.62,6272.231402
1.57E+12,04/11/2019 04:00,LTCUSD,58.19,63,57.93,62.19,13694.31081
1.57E+12,03/11/2019 04:00,LTCUSD,58.44,58.77,57.4,58.19,3333.413811
1.57E+12,02/11/2019 04:00,LTCUSD,58.37,59.32,57.97,58.44,3300.246881
1.57E+12,01/11/2019 04:00,LTCUSD,57.76,58.88,56.84,58.37,6191.900598
1.57E+12,31/10/2019 04:00,LTCUSD,58.26,59.69,57.19,57.76,5583.916861
1.57E+12,30/10/2019 04:00,LTCUSD,59.64,59.87,56.98,58.26,7100.918673
1.57E+12,29/10/2019 04:00,LTCUSD,59.33,61.01,57.98,59.64,6776.254422
1.57E+12,28/10/2019 04:00,LTCUSD,60.02,60.11,57.61,59.33,10942.86439
1.57E+12,27/10/2019 04:00,LTCUSD,56.04,62.8,56.04,60.02,10215.94195
1.57E+12,26/10/2019 04:00,LTCUSD,58.76,59.8,54.31,56.04,5999.48308
1.57E+12,25/10/2019 04:00,LTCUSD,48.73,64.07,48.73,58.76,12487.29914
1.57E+12,24/10/2019 04:00,LTCUSD,48.73,48.73,48.73,48.73,0
1.57E+12,23/10/2019 04:00,LTCUSD,52.47,52.71,47.31,48.73,15139.64605
1.57E+12,22/10/2019 04:00,LTCUSD,55.07,55.07,52.16,52.47,3229.381761
1.57E+12,21/10/2019 04:00,LTCUSD,54.44,55.78,53.81,55.07,2528.479368
1.57E+12,20/10/2019 04:00,LTCUSD,53.29,55.48,52.77,54.44,2869.271138
1.57E+12,19/10/2019 04:00,LTCUSD,53.5,54.13,52.75,53.29,2204.08516
1.57E+12,18/10/2019 04:00,LTCUSD,54.5,54.5,52.21,53.5,6778.74633
